,0
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,0
13,0
14,1
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,1
35,1
36,1
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,1
46,1
47,0
48,0
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,0
61,0
62,0
63,1
64,0
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,0
73,1
74,0
75,1
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,0
85,0
86,1
87,1
88,0
89,0
90,0
91,1
92,0
93,1
94,1
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,0
112,0
113,1
114,0
115,1
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,1
129,1
130,1
131,0
132,1
133,0
134,1
135,1
136,0
137,0
138,1
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,1
150,0
151,1
152,1
153,0
154,0
155,1
156,0
157,0
158,1
159,0
160,1
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,1
169,1
170,0
171,0
172,0
173,0
174,1
175,1
176,0
177,0
178,0
179,1
180,0
181,0
182,1
183,1
184,1
185,0
186,0
187,1
188,0
189,1
190,0
191,0
192,1
193,1
194,1
195,1
196,0
197,0
198,0
199,0
